aX,aY,aZ,gX,gY,gZ
-0.246,1.032,0.510,35.828,7.629,-80.811
-0.238,0.969,0.560,39.795,3.113,-75.317
-0.235,0.923,0.587,41.687,-3.784,-68.542
-0.238,0.881,0.625,43.030,-12.146,-60.974
-0.237,0.835,0.689,46.570,-18.677,-56.396
-0.238,0.808,0.731,50.781,-25.452,-53.406
-0.238,0.781,0.757,54.199,-29.053,-50.903
-0.222,0.732,0.786,56.763,-29.114,-48.462
-0.205,0.668,0.809,57.861,-25.879,-46.204
-0.175,0.638,0.815,56.641,-22.156,-46.509
-0.159,0.620,0.837,54.565,-18.188,-47.729
-0.152,0.573,0.847,53.589,-16.418,-48.218
-0.151,0.541,0.857,53.162,-15.991,-48.340
-0.147,0.523,0.863,53.101,-15.381,-46.570
-0.132,0.497,0.862,52.856,-15.442,-43.396
-0.078,0.442,0.884,52.246,-14.282,-38.818
-0.050,0.404,0.900,50.232,-13.611,-34.485
-0.015,0.394,0.914,47.424,-12.451,-31.677
0.193,0.374,1.042,44.678,-11.475,-30.823
-0.023,0.361,0.914,40.527,-26.550,-32.043
0.005,0.314,0.983,41.504,-19.958,-33.508
0.060,0.253,0.969,42.175,7.874,-25.085
0.142,0.183,0.979,35.889,25.330,-22.034
0.164,0.171,0.964,29.541,28.442,-23.804
0.136,0.174,0.932,24.475,24.475,-23.987
0.147,0.134,0.938,22.034,19.348,-23.621
0.146,0.107,0.941,21.057,12.573,-25.146
0.131,0.087,0.931,19.165,5.432,-26.428
0.127,0.071,0.916,18.433,2.563,-24.780
0.140,0.065,0.907,19.043,3.418,-20.630
0.170,0.056,0.908,19.897,3.662,-16.418
0.199,0.043,0.922,19.714,2.136,-13.428
0.209,0.070,0.931,18.250,-1.587,-13.245
0.208,0.080,0.954,17.639,-4.578,-13.245
0.204,0.104,0.970,16.602,-7.019,-13.794
0.195,0.096,0.990,14.404,-7.263,-14.221
0.198,0.069,0.997,11.414,-5.371,-15.625
0.185,0.051,1.001,8.118,-1.953,-18.860
0.179,0.059,1.000,5.066,3.601,-23.010
0.164,0.057,0.990,4.150,8.423,-26.367
0.148,0.050,0.982,4.883,11.658,-29.114
0.159,0.051,0.998,6.714,13.428,-30.823
0.111,0.049,0.968,8.179,12.939,-30.396
0.142,0.048,0.977,12.329,14.465,-30.090
0.136,0.040,0.979,16.541,13.000,-27.466
0.130,0.032,0.974,20.691,10.132,-24.475
0.129,0.023,0.972,24.353,8.667,-23.132
0.119,0.019,0.960,26.489,8.972,-23.743
0.116,0.023,0.952,27.100,9.705,-25.085
0.110,0.018,0.946,25.940,10.254,-26.306
0.083,0.028,0.935,23.132,11.169,-27.893
0.077,0.035,0.930,20.386,12.451,-27.100
0.077,0.035,0.930,19.714,13.367,-23.926
0.072,0.033,0.928,19.165,12.695,-20.203
0.068,0.044,0.938,16.846,10.925,-16.479
0.083,0.046,0.948,14.404,8.484,-12.512
0.089,0.052,0.961,13.550,6.409,-8.728
0.093,0.070,0.967,13.550,5.066,-5.798
0.103,0.076,0.974,13.611,4.150,-3.845
0.109,0.086,0.978,13.489,2.747,-2.808
0.114,0.094,0.975,12.939,2.075,-2.014
0.118,0.106,0.970,13.184,1.587,-1.770
0.130,0.109,0.972,13.245,1.221,-2.441
0.121,0.114,0.966,12.329,1.099,-3.723
0.116,0.115,0.966,10.498,1.831,-5.676
0.102,0.119,0.970,8.179,3.723,-7.568
