aX,aY,aZ,gX,gY,gZ
-0.052,0.170,-1.144,-247.620,-182.251,16.479
0.026,0.200,-0.926,-246.643,-190.857,15.442
-0.004,0.096,-0.759,-241.394,-215.759,16.235
0.033,0.074,-0.594,-240.051,-227.966,18.616
0.075,0.058,-0.431,-246.887,-221.130,10.742
0.081,0.047,-0.260,-253.174,-209.473,8.179
0.116,0.021,-0.086,-254.333,-200.623,15.747
0.194,0.030,0.072,-248.901,-191.711,25.635
0.276,-0.002,0.185,-235.413,-183.044,30.212
0.349,-0.040,0.277,-216.919,-172.058,30.945
0.380,-0.063,0.338,-200.073,-158.875,27.405
0.389,-0.183,0.394,-186.218,-145.508,26.367
0.475,-0.173,0.440,-173.523,-137.573,24.719
0.500,-0.236,0.445,-154.480,-123.474,21.179
0.521,-0.291,0.469,-136.963,-100.830,19.531
0.547,-0.372,0.495,-124.878,-80.933,14.709
0.566,-0.440,0.539,-113.953,-62.927,10.925
0.577,-0.490,0.565,-99.670,-47.363,8.972
0.604,-0.513,0.557,-82.092,-35.706,7.019
0.631,-0.578,0.545,-60.913,-29.114,3.784
0.648,-0.605,0.495,-39.001,-24.902,-2.563
0.657,-0.636,0.435,-17.700,-19.653,-9.277
0.641,-0.690,0.351,-0.183,-12.451,-15.503
0.619,-0.727,0.252,11.353,-3.967,-19.043
0.607,-0.754,0.148,20.996,4.456,-19.470
0.587,-0.775,0.049,29.602,11.963,-19.104
0.573,-0.776,-0.044,36.865,18.494,-19.409
0.553,-0.780,-0.130,43.274,24.414,-19.653
0.549,-0.786,-0.218,48.340,29.053,-20.203
0.543,-0.784,-0.306,52.429,33.203,-19.897
0.539,-0.783,-0.384,56.458,36.560,-18.555
0.532,-0.792,-0.458,60.547,39.612,-16.418
0.523,-0.777,-0.537,63.904,41.382,-14.648
0.531,-0.760,-0.628,66.711,41.565,-12.695
0.511,-0.765,-0.687,66.711,41.626,-10.193
0.514,-0.762,-0.763,61.218,42.908,-7.141
0.522,-0.763,-0.790,52.856,41.504,-4.456
0.524,-0.766,-0.796,44.006,37.109,-2.319
0.525,-0.759,-0.774,36.255,30.762,-0.366
0.530,-0.756,-0.734,31.006,22.461,2.197
0.533,-0.742,-0.682,26.794,14.160,4.639
0.543,-0.732,-0.621,23.621,7.446,6.409
0.550,-0.712,-0.553,21.179,3.723,7.751
0.568,-0.684,-0.493,19.714,2.625,7.629
0.566,-0.675,-0.432,19.836,4.028,5.798
0.560,-0.659,-0.403,21.423,7.751,4.761
0.557,-0.643,-0.389,25.146,11.292,4.822
0.554,-0.622,-0.387,28.503,15.442,5.798
0.543,-0.599,-0.403,29.358,20.203,6.958
0.546,-0.591,-0.418,30.701,23.132,7.751
0.553,-0.573,-0.425,33.630,23.865,7.874
0.549,-0.557,-0.426,36.621,23.987,7.202
0.551,-0.550,-0.421,40.100,23.437,5.920
0.542,-0.533,-0.424,42.908,23.743,3.845
0.532,-0.524,-0.432,44.922,24.963,1.404
0.524,-0.522,-0.443,47.302,27.100,-0.305
0.514,-0.521,-0.451,51.208,29.236,-1.221
0.499,-0.506,-0.458,54.321,32.532,-2.197
0.489,-0.527,-0.494,56.030,37.048,-2.563
0.477,-0.523,-0.513,57.800,40.466,-2.625
0.466,-0.513,-0.538,58.044,43.335,-1.953
0.450,-0.523,-0.569,59.021,44.250,-0.916
0.435,-0.493,-0.593,60.547,43.579,0.671
0.451,-0.466,-0.598,62.683,43.152,2.258
0.443,-0.430,-0.617,65.430,43.701,2.136
0.443,-0.426,-0.643,69.641,45.166,-0.305
0.433,-0.434,-0.688,73.730,46.204,-2.441
0.429,-0.440,-0.734,74.402,47.302,-3.296
0.420,-0.458,-0.761,72.021,47.546,-3.174
0.409,-0.469,-0.789,67.139,47.607,-2.075
0.397,-0.454,-0.794,62.256,45.654,1.099
0.397,-0.435,-0.804,57.190,43.091,4.517
0.401,-0.406,-0.801,52.917,40.710,7.019
0.416,-0.388,-0.786,49.805,40.588,8.606
0.425,-0.342,-0.771,53.467,40.405,7.874
0.435,-0.309,-0.800,62.256,37.720,4.089
0.430,-0.317,-0.844,70.862,35.400,-0.183
0.411,-0.330,-0.899,72.571,35.278,-2.808
0.403,-0.345,-0.935,69.519,35.767,-3.113
0.402,-0.350,-0.942,65.796,35.400,-2.502
0.381,-0.345,-0.966,61.829,34.668,-1.709
0.374,-0.350,-0.989,57.617,33.264,-0.122
0.365,-0.344,-0.977,52.612,30.884,1.953
0.368,-0.329,-0.966,45.349,28.503,3.296
0.377,-0.314,-0.938,40.833,25.452,4.150
0.387,-0.291,-0.914,40.283,23.132,3.662
0.392,-0.266,-0.909,42.786,21.667,1.953
0.379,-0.267,-0.909,47.729,20.874,-1.526
0.380,-0.273,-0.933,50.171,21.667,-3.174
0.388,-0.280,-0.957,50.476,21.973,-3.479
0.374,-0.283,-0.963,49.316,21.423,-3.357
0.381,-0.275,-0.950,47.363,19.653,-3.174
